Main Header,Subheader 1,Subheader 2,Section,site
OPERA MAIORA,Scriptum super Sententiis,Liber 4,Distinctio 50,https://www.corpusthomisticum.org/snp4050.html
OPERA MAIORA,Summa contra Gentiles,Liber 1,Capita 1-9,https://www.corpusthomisticum.org/scg1001.html
OPERA MAIORA,Summa contra Gentiles,Liber 1,Capita 10-13,https://www.corpusthomisticum.org/scg1010.html
OPERA MAIORA,Summa contra Gentiles,Liber 1,Capita 14-28,https://www.corpusthomisticum.org/scg1014.html
OPERA MAIORA,Summa contra Gentiles,Liber 1,Capita 29-36,https://www.corpusthomisticum.org/scg1029.html
OPERA MAIORA,Summa contra Gentiles,Liber 1,Capita 37-43,https://www.corpusthomisticum.org/scg1037.html
OPERA MAIORA,Summa contra Gentiles,Liber 1,Capita 44-71,https://www.corpusthomisticum.org/scg1044.html
OPERA MAIORA,Summa contra Gentiles,Liber 1,Capita 72-96,https://www.corpusthomisticum.org/scg1072.html
OPERA MAIORA,Summa contra Gentiles,Liber 1,Capita 97-102,https://www.corpusthomisticum.org/scg1097.html
OPERA MAIORA,Summa contra Gentiles,Liber 2,Capita 1-5,https://www.corpusthomisticum.org/scg2001.html
OPERA MAIORA,Summa contra Gentiles,Liber 2,Capita 6-38,https://www.corpusthomisticum.org/scg2006.html
OPERA MAIORA,Summa contra Gentiles,Liber 2,Capita 39-45,https://www.corpusthomisticum.org/scg2039.html
OPERA MAIORA,Summa contra Gentiles,Liber 2,Capita 46-55,https://www.corpusthomisticum.org/scg2046.html
OPERA MAIORA,Summa contra Gentiles,Liber 2,Capita 56-90,https://www.corpusthomisticum.org/scg2056.html
OPERA MAIORA,Summa contra Gentiles,Liber 2,Capita 91-101,https://www.corpusthomisticum.org/scg2091.html
OPERA MAIORA,Summa contra Gentiles,Liber 3,Capita 1-63,https://www.corpusthomisticum.org/scg3001.html
OPERA MAIORA,Summa contra Gentiles,Liber 3,Capita 64-110,https://www.corpusthomisticum.org/scg3064.html
